nameWithOwner,id,title,state,createdAt,closedAt,changedFiles,additions,deletions,reviews,body,participants,comments,hours_spent
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzgwOTY4NDc0,zh-cn: Sync with upstream to keep it up-to-date,MERGED,2020-02-27T17:08:58Z,2020-03-10T01:34:19Z,9,1458,1466,1,0,8,4,272.4225
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mzg1OTc0NTc0,zh-Hans: Translate solutions,MERGED,2020-03-10T07:22:13Z,2020-03-30T00:40:51Z,9,2525,10,1,13,8,2,473.31055555555554
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MzkxOTAwMjMw,Remove extraneous __init__.py,MERGED,2020-03-21T19:21:35Z,2020-07-12T16:02:45Z,1,0,0,1,0,1,0,2708.686111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mzk3OTE0MzUy,Remove invalid link,CLOSED,2020-04-03T03:24:29Z,2021-04-16T02:52:46Z,1,1,1,1,19,4,4,9071.47138888889
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0Mzk5MzI5Mzky,"Fix the loop over ""self.cards""",MERGED,2020-04-06T00:59:48Z,2020-07-08T00:56:06Z,1,1,1,1,0,2,1,2231.9383333333335
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDAwNzc5MTY3,fix: typo,MERGED,2020-04-08T11:02:07Z,2020-07-01T00:42:25Z,1,2,2,2,39,3,1,2005.6716666666666
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDAyMzYyMzU5,Missing comma,MERGED,2020-04-12T16:16:30Z,2020-07-01T00:37:50Z,1,1,1,2,0,3,1,1904.3555555555556
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDAyNzM1NTQ1,Add CAP theorem video,MERGED,2020-04-13T16:58:08Z,2020-07-08T00:54:02Z,1,1,0,1,114,4,3,2047.9316666666666
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDA2MjUwMDQ5,Remove redundant SQL index in Pastebin exercise,MERGED,2020-04-20T19:16:06Z,2020-07-07T01:05:51Z,1,1,1,1,150,2,1,1853.8291666666667
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDA4ODY0NDc5,Check dependencies in Ebook gen script,MERGED,2020-04-25T07:19:24Z,2020-07-04T01:24:24Z,1,15,1,2,105,3,3,1674.0833333333333
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDEwMzg0NzM0,Included apache kafka for event queuing,CLOSED,2020-04-28T22:03:48Z,2020-07-10T10:58:46Z,1,4,0,4,97,10,1,1740.9161111111111
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0NDEzNzE3MDQ0,Fix Mint exercise bugs and typos,MERGED,2020-05-05T19:45:39Z,2020-07-07T01:00:34Z,1,8,8,1,0,2,1,1493.2486111111111
