nameWithOwner,url,createdAt,stargazers,pullRequests
iptv-org/iptv,https://github.com/iptv-org/iptv,2018-11-14T22:00:57Z,63800,5800
webpack/webpack,https://github.com/webpack/webpack,2012-03-10T10:08:14Z,62934,5975
keras-team/keras,https://github.com/keras-team/keras,2015-03-28T00:35:42Z,57904,6126
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,2013-08-20T23:06:02Z,48930,6186
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,157644,6399
nestjs/nest,https://github.com/nestjs/nest,2017-02-04T20:12:52Z,55889,6438
prometheus/prometheus,https://github.com/prometheus/prometheus,2012-11-24T11:14:12Z,47606,6614
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26T15:52:15Z,58961,6623
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,157248,6795
netdata/netdata,https://github.com/netdata/netdata,2013-06-17T18:39:10Z,62587,7287
strapi/strapi,https://github.com/strapi/strapi,2015-09-30T15:34:48Z,53117,7611
angular/angular.js,https://github.com/angular/angular.js,2010-01-06T00:34:37Z,59205,7923
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,276067,8267
prettier/prettier,https://github.com/prettier/prettier,2016-11-29T17:13:37Z,45320,8297
denoland/deno,https://github.com/denoland/deno,2018-05-15T01:34:26Z,88927,10038
storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18T04:23:44Z,78024,10142
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,93013,11185
microsoft/playwright,https://github.com/microsoft/playwright,2019-11-15T18:32:42Z,49626,11446
facebook/react-native,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,108964,11988
apache/superset,https://github.com/apache/superset,2015-07-21T18:55:34Z,51421,12879
neovim/neovim,https://github.com/neovim/neovim,2014-01-31T13:39:22Z,64848,13153
